FECHA_DOC,COSTO_TOTAL_CALCULADO
2022-01-05,52.8
2022-01-05,327.18
2022-01-05,1243.73
2022-01-05,38.96
2022-01-05,203.42
2022-01-05,98.82
2022-01-05,5323.76
2022-01-05,116.88
2022-01-05,517.89
2022-01-05,517.89
2022-01-05,517.89
2022-01-05,586.32
2022-01-05,586.32
2022-01-05,86.22
2022-01-05,742.05
2022-01-05,397.08
2022-01-05,248.0
2022-01-05,425.69
2022-01-05,393.48
2022-01-05,530.41
2022-01-05,82.29
2022-12-23,4579.08
2022-12-23,390.43
2022-12-23,153.49
2022-12-23,1767.02
2022-12-23,369.62
2022-12-23,130.63
2022-12-23,572.25
2022-12-23,843.82
2022-12-23,954.32
2022-12-23,613.88
2022-12-23,628.12
2022-12-23,1789.64
2022-12-23,1884.35
2022-12-23,806.55
